instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
9991682,39030,ALKEM25NOVFUT,ALKEM,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
12690178,49571,ALKEM25DECFUT,ALKEM,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12610306,49259,ALKEM26JANFUT,ALKEM,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
9991938,39031,AMBER25NOVFUT,AMBER,0.0,2025-11-25,0.0,0.5,100,FUT,NFO-FUT,NFO
12691714,49577,AMBER25DECFUT,AMBER,0.0,2025-12-30,0.0,0.5,100,FUT,NFO-FUT,NFO
12610562,49260,AMBER26JANFUT,AMBER,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
11307522,44170,AMBUJACEM25NOVFUT,AMBUJACEM,0.0,2025-11-25,0.0,0.05,1050,FUT,NFO-FUT,NFO
12692482,49580,AMBUJACEM25DECFUT,AMBUJACEM,0.0,2025-12-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
12611330,49263,AMBUJACEM26JANFUT,AMBUJACEM,0.0,2026-01-27,0.0,0.05,1050,FUT,NFO-FUT,NFO
11307778,44171,ANGELONE25NOVFUT,ANGELONE,0.0,2025-11-25,0.0,0.1,250,FUT,NFO-FUT,NFO
12692738,49581,ANGELONE25DECFUT,ANGELONE,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
12611842,49265,ANGELONE26JANFUT,ANGELONE,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
11308034,44172,APLAPOLLO25NOVFUT,APLAPOLLO,0.0,2025-11-25,0.0,0.1,350,FUT,NFO-FUT,NFO
12693250,49583,APLAPOLLO25DECFUT,APLAPOLLO,0.0,2025-12-30,0.0,0.1,350,FUT,NFO-FUT,NFO
12612098,49266,APLAPOLLO26JANFUT,APLAPOLLO,0.0,2026-01-27,0.0,0.1,350,FUT,NFO-FUT,NFO
11308290,44173,APOLLOHOSP25NOVFUT,APOLLOHOSP,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
12693506,49584,APOLLOHOSP25DECFUT,APOLLOHOSP,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12612354,49267,APOLLOHOSP26JANFUT,APOLLOHOSP,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
11309570,44178,ASHOKLEY25NOVFUT,ASHOKLEY,0.0,2025-11-25,0.0,0.01,5000,FUT,NFO-FUT,NFO
12694530,49588,ASHOKLEY25DECFUT,ASHOKLEY,0.0,2025-12-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
12612866,49269,ASHOKLEY26JANFUT,ASHOKLEY,0.0,2026-01-27,0.0,0.01,5000,FUT,NFO-FUT,NFO
11309826,44179,ASIANPAINT25NOVFUT,ASIANPAINT,0.0,2025-11-25,0.0,0.1,250,FUT,NFO-FUT,NFO
12694786,49589,ASIANPAINT25DECFUT,ASIANPAINT,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
12613122,49270,ASIANPAINT26JANFUT,ASIANPAINT,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
11896322,46470,ASTRAL25NOVFUT,ASTRAL,0.0,2025-11-25,0.0,0.1,425,FUT,NFO-FUT,NFO
12695042,49590,ASTRAL25DECFUT,ASTRAL,0.0,2025-12-30,0.0,0.1,425,FUT,NFO-FUT,NFO
12614914,49277,ASTRAL26JANFUT,ASTRAL,0.0,2026-01-27,0.0,0.1,425,FUT,NFO-FUT,NFO
11896834,46472,AUBANK25NOVFUT,AUBANK,0.0,2025-11-25,0.0,0.05,1000,FUT,NFO-FUT,NFO
12695298,49591,AUBANK25DECFUT,AUBANK,0.0,2025-12-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
12615170,49278,AUBANK26JANFUT,AUBANK,0.0,2026-01-27,0.0,0.05,1000,FUT,NFO-FUT,NFO
11897090,46473,AUROPHARMA25NOVFUT,AUROPHARMA,0.0,2025-11-25,0.0,0.1,550,FUT,NFO-FUT,NFO
12696834,49597,AUROPHARMA25DECFUT,AUROPHARMA,0.0,2025-12-30,0.0,0.1,550,FUT,NFO-FUT,NFO
12615426,49279,AUROPHARMA26JANFUT,AUROPHARMA,0.0,2026-01-27,0.0,0.1,550,FUT,NFO-FUT,NFO
11898114,46477,AXISBANK25NOVFUT,AXISBANK,0.0,2025-11-25,0.0,0.1,625,FUT,NFO-FUT,NFO
12697090,49598,AXISBANK25DECFUT,AXISBANK,0.0,2025-12-30,0.0,0.1,625,FUT,NFO-FUT,NFO
12616194,49282,AXISBANK26JANFUT,AXISBANK,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
12434690,48573,BAJAJ-AUTO25NOVFUT,BAJAJ-AUTO,0.0,2025-11-25,0.0,0.5,75,FUT,NFO-FUT,NFO
12698114,49602,BAJAJ-AUTO25DECFUT,BAJAJ-AUTO,0.0,2025-12-30,0.0,0.5,75,FUT,NFO-FUT,NFO
12621570,49303,BAJAJ-AUTO26JANFUT,BAJAJ-AUTO,0.0,2026-01-27,0.0,0.5,75,FUT,NFO-FUT,NFO
12434946,48574,BAJAJFINSV25NOVFUT,BAJAJFINSV,0.0,2025-11-25,0.0,0.1,250,FUT,NFO-FUT,NFO
12700418,49611,BAJAJFINSV25DECFUT,BAJAJFINSV,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
12621826,49304,BAJAJFINSV26JANFUT,BAJAJFINSV,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
12435202,48575,BAJFINANCE25NOVFUT,BAJFINANCE,0.0,2025-11-25,0.0,0.1,750,FUT,NFO-FUT,NFO
12700674,49612,BAJFINANCE25DECFUT,BAJFINANCE,0.0,2025-12-30,0.0,0.1,750,FUT,NFO-FUT,NFO
12622082,49305,BAJFINANCE26JANFUT,BAJFINANCE,0.0,2026-01-27,0.0,0.1,750,FUT,NFO-FUT,NFO
12435970,48578,BANDHANBNK25NOVFUT,BANDHANBNK,0.0,2025-11-25,0.0,0.01,3600,FUT,NFO-FUT,NFO
12700930,49613,BANDHANBNK25DECFUT,BANDHANBNK,0.0,2025-12-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
12622338,49306,BANDHANBNK26JANFUT,BANDHANBNK,0.0,2026-01-27,0.0,0.01,3600,FUT,NFO-FUT,NFO
12436226,48579,BANKBARODA25NOVFUT,BANKBARODA,0.0,2025-11-25,0.0,0.05,2925,FUT,NFO-FUT,NFO
12701698,49616,BANKBARODA25DECFUT,BANKBARODA,0.0,2025-12-30,0.0,0.05,2925,FUT,NFO-FUT,NFO
12622594,49307,BANKBARODA26JANFUT,BANKBARODA,0.0,2026-01-27,0.0,0.05,2925,FUT,NFO-FUT,NFO
12436482,48580,BANKINDIA25NOVFUT,BANKINDIA,0.0,2025-11-25,0.0,0.01,5200,FUT,NFO-FUT,NFO
12702978,49621,BANKINDIA25DECFUT,BANKINDIA,0.0,2025-12-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
12622850,49308,BANKINDIA26JANFUT,BANKINDIA,0.0,2026-01-27,0.0,0.01,5200,FUT,NFO-FUT,NFO
12436738,48581,BDL25NOVFUT,BDL,0.0,2025-11-25,0.0,0.1,325,FUT,NFO-FUT,NFO
12703746,49624,BDL25DECFUT,BDL,0.0,2025-12-30,0.0,0.1,325,FUT,NFO-FUT,NFO
12623362,49310,BDL26JANFUT,BDL,0.0,2026-01-27,0.0,0.1,350,FUT,NFO-FUT,NFO
12436994,48582,BEL25NOVFUT,BEL,0.0,2025-11-25,0.0,0.05,1425,FUT,NFO-FUT,NFO
12704002,49625,BEL25DECFUT,BEL,0.0,2025-12-30,0.0,0.05,1425,FUT,NFO-FUT,NFO
12623874,49312,BEL26JANFUT,BEL,0.0,2026-01-27,0.0,0.05,1425,FUT,NFO-FUT,NFO
12438018,48586,BHARATFORG25NOVFUT,BHARATFORG,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
12704258,49626,BHARATFORG25DECFUT,BHARATFORG,0.0,2025-12-30,0.0,0.1,500,FUT,NFO-FUT,NFO
12625154,49317,BHARATFORG26JANFUT,BHARATFORG,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
12438274,48587,BHARTIARTL25NOVFUT,BHARTIARTL,0.0,2025-11-25,0.0,0.1,475,FUT,NFO-FUT,NFO
12705026,49629,BHARTIARTL25DECFUT,BHARTIARTL,0.0,2025-12-30,0.0,0.1,475,FUT,NFO-FUT,NFO
12625410,49318,BHARTIARTL26JANFUT,BHARTIARTL,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
12438530,48588,BHEL25NOVFUT,BHEL,0.0,2025-11-25,0.0,0.05,2625,FUT,NFO-FUT,NFO
12706050,49633,BHEL25DECFUT,BHEL,0.0,2025-12-30,0.0,0.05,2625,FUT,NFO-FUT,NFO
12625666,49319,BHEL26JANFUT,BHEL,0.0,2026-01-27,0.0,0.05,2625,FUT,NFO-FUT,NFO
12440066,48594,BIOCON25NOVFUT,BIOCON,0.0,2025-11-25,0.0,0.05,2500,FUT,NFO-FUT,NFO
12706306,49634,BIOCON25DECFUT,BIOCON,0.0,2025-12-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
12625922,49320,BIOCON26JANFUT,BIOCON,0.0,2026-01-27,0.0,0.05,2500,FUT,NFO-FUT,NFO
12440322,48595,BLUESTARCO25NOVFUT,BLUESTARCO,0.0,2025-11-25,0.0,0.1,325,FUT,NFO-FUT,NFO
12707330,49638,BLUESTARCO25DECFUT,BLUESTARCO,0.0,2025-12-30,0.0,0.1,325,FUT,NFO-FUT,NFO
12626690,49323,BLUESTARCO26JANFUT,BLUESTARCO,0.0,2026-01-27,0.0,0.1,325,FUT,NFO-FUT,NFO
12440578,48596,BOSCHLTD25NOVFUT,BOSCHLTD,0.0,2025-11-25,0.0,5.0,25,FUT,NFO-FUT,NFO
12707586,49639,BOSCHLTD25DECFUT,BOSCHLTD,0.0,2025-12-30,0.0,5.0,25,FUT,NFO-FUT,NFO
12626946,49324,BOSCHLTD26JANFUT,BOSCHLTD,0.0,2026-01-27,0.0,5.0,25,FUT,NFO-FUT,NFO
12440834,48597,BPCL25NOVFUT,BPCL,0.0,2025-11-25,0.0,0.05,1975,FUT,NFO-FUT,NFO
12708866,49644,BPCL25DECFUT,BPCL,0.0,2025-12-30,0.0,0.05,1975,FUT,NFO-FUT,NFO
12627202,49325,BPCL26JANFUT,BPCL,0.0,2026-01-27,0.0,0.05,1975,FUT,NFO-FUT,NFO
12441090,48598,BRITANNIA25NOVFUT,BRITANNIA,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
12709634,49647,BRITANNIA25DECFUT,BRITANNIA,0.0,2025-12-30,0.0,0.5,125,FUT,NFO-FUT,NFO
12627458,49326,BRITANNIA26JANFUT,BRITANNIA,0.0,2026-01-27,0.0,0.5,125,FUT,NFO-FUT,NFO
12441346,48599,BSE25NOVFUT,BSE,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
12710402,49650,BSE25DECFUT,BSE,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
12627714,49327,BSE26JANFUT,BSE,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
12441602,48600,CAMS25NOVFUT,CAMS,0.0,2025-11-25,0.0,0.1,150,FUT,NFO-FUT,NFO
12710658,49651,CAMS25DECFUT,CAMS,0.0,2025-12-30,0.0,0.1,150,FUT,NFO-FUT,NFO
12627970,49328,CAMS26JANFUT,CAMS,0.0,2026-01-27,0.0,0.1,150,FUT,NFO-FUT,NFO
12442114,48602,CANBK25NOVFUT,CANBK,0.0,2025-11-25,0.0,0.01,6750,FUT,NFO-FUT,NFO
12710914,49652,CANBK25DECFUT,CANBK,0.0,2025-12-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
12628226,49329,CANBK26JANFUT,CANBK,0.0,2026-01-27,0.0,0.01,6750,FUT,NFO-FUT,NFO
12442370,48603,CDSL25NOVFUT,CDSL,0.0,2025-11-25,0.0,0.1,475,FUT,NFO-FUT,NFO
12712194,49657,CDSL25DECFUT,CDSL,0.0,2025-12-30,0.0,0.1,475,FUT,NFO-FUT,NFO
12628482,49330,CDSL26JANFUT,CDSL,0.0,2026-01-27,0.0,0.1,475,FUT,NFO-FUT,NFO
12442882,48605,CGPOWER25NOVFUT,CGPOWER,0.0,2025-11-25,0.0,0.05,850,FUT,NFO-FUT,NFO
12713218,49661,CGPOWER25DECFUT,CGPOWER,0.0,2025-12-30,0.0,0.05,850,FUT,NFO-FUT,NFO
12628738,49331,CGPOWER26JANFUT,CGPOWER,0.0,2026-01-27,0.0,0.05,850,FUT,NFO-FUT,NFO
12443138,48606,CHOLAFIN25NOVFUT,CHOLAFIN,0.0,2025-11-25,0.0,0.1,625,FUT,NFO-FUT,NFO
12713474,49662,CHOLAFIN25DECFUT,CHOLAFIN,0.0,2025-12-30,0.0,0.1,625,FUT,NFO-FUT,NFO
12628994,49332,CHOLAFIN26JANFUT,CHOLAFIN,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
12443394,48607,CIPLA25NOVFUT,CIPLA,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
12713730,49663,CIPLA25DECFUT,CIPLA,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
12629762,49335,CIPLA26JANFUT,CIPLA,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
12443650,48608,COALINDIA25NOVFUT,COALINDIA,0.0,2025-11-25,0.0,0.05,1350,FUT,NFO-FUT,NFO
12713986,49664,COALINDIA25DECFUT,COALINDIA,0.0,2025-12-30,0.0,0.05,1350,FUT,NFO-FUT,NFO
12630018,49336,COALINDIA26JANFUT,COALINDIA,0.0,2026-01-27,0.0,0.05,1350,FUT,NFO-FUT,NFO
12443906,48609,COFORGE25NOVFUT,COFORGE,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
12716290,49673,COFORGE25DECFUT,COFORGE,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
12631554,49342,COFORGE26JANFUT,COFORGE,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
12444162,48610,COLPAL25NOVFUT,COLPAL,0.0,2025-11-25,0.0,0.1,225,FUT,NFO-FUT,NFO
12716546,49674,COLPAL25DECFUT,COLPAL,0.0,2025-12-30,0.0,0.1,225,FUT,NFO-FUT,NFO
12631810,49343,COLPAL26JANFUT,COLPAL,0.0,2026-01-27,0.0,0.1,225,FUT,NFO-FUT,NFO
12444674,48612,CONCOR25NOVFUT,CONCOR,0.0,2025-11-25,0.0,0.05,1250,FUT,NFO-FUT,NFO
12716802,49675,CONCOR25DECFUT,CONCOR,0.0,2025-12-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
12633346,49349,CONCOR26JANFUT,CONCOR,0.0,2026-01-27,0.0,0.05,1250,FUT,NFO-FUT,NFO
12444930,48613,CROMPTON25NOVFUT,CROMPTON,0.0,2025-11-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
12717058,49676,CROMPTON25DECFUT,CROMPTON,0.0,2025-12-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
12633602,49350,CROMPTON26JANFUT,CROMPTON,0.0,2026-01-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
12445186,48614,CUMMINSIND25NOVFUT,CUMMINSIND,0.0,2025-11-25,0.0,0.1,200,FUT,NFO-FUT,NFO
12718082,49680,CUMMINSIND25DECFUT,CUMMINSIND,0.0,2025-12-30,0.0,0.1,200,FUT,NFO-FUT,NFO
12633858,49351,CUMMINSIND26JANFUT,CUMMINSIND,0.0,2026-01-27,0.0,0.1,200,FUT,NFO-FUT,NFO
12446210,48618,CYIENT25NOVFUT,CYIENT,0.0,2025-11-25,0.0,0.1,425,FUT,NFO-FUT,NFO
12719874,49687,CYIENT25DECFUT,CYIENT,0.0,2025-12-30,0.0,0.1,425,FUT,NFO-FUT,NFO
12446466,48619,DABUR25NOVFUT,DABUR,0.0,2025-11-25,0.0,0.05,1250,FUT,NFO-FUT,NFO
12720130,49688,DABUR25DECFUT,DABUR,0.0,2025-12-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
12634114,49352,DABUR26JANFUT,DABUR,0.0,2026-01-27,0.0,0.05,1250,FUT,NFO-FUT,NFO
12447746,48624,DALBHARAT25NOVFUT,DALBHARAT,0.0,2025-11-25,0.0,0.1,325,FUT,NFO-FUT,NFO
12720898,49691,DALBHARAT25DECFUT,DALBHARAT,0.0,2025-12-30,0.0,0.1,325,FUT,NFO-FUT,NFO
12634370,49353,DALBHARAT26JANFUT,DALBHARAT,0.0,2026-01-27,0.0,0.1,325,FUT,NFO-FUT,NFO
12448002,48625,DELHIVERY25NOVFUT,DELHIVERY,0.0,2025-11-25,0.0,0.05,2075,FUT,NFO-FUT,NFO
12721154,49692,DELHIVERY25DECFUT,DELHIVERY,0.0,2025-12-30,0.0,0.05,2075,FUT,NFO-FUT,NFO
12634626,49354,DELHIVERY26JANFUT,DELHIVERY,0.0,2026-01-27,0.0,0.05,2075,FUT,NFO-FUT,NFO
12448258,48626,DIVISLAB25NOVFUT,DIVISLAB,0.0,2025-11-25,0.0,0.5,100,FUT,NFO-FUT,NFO
12721410,49693,DIVISLAB25DECFUT,DIVISLAB,0.0,2025-12-30,0.0,0.5,100,FUT,NFO-FUT,NFO
12636930,49363,DIVISLAB26JANFUT,DIVISLAB,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
12448514,48627,DIXON25NOVFUT,DIXON,0.0,2025-11-25,0.0,1.0,50,FUT,NFO-FUT,NFO
12722178,49696,DIXON25DECFUT,DIXON,0.0,2025-12-30,0.0,1.0,50,FUT,NFO-FUT,NFO
12637186,49364,DIXON26JANFUT,DIXON,0.0,2026-01-27,0.0,1.0,50,FUT,NFO-FUT,NFO
12449282,48630,DLF25NOVFUT,DLF,0.0,2025-11-25,0.0,0.05,825,FUT,NFO-FUT,NFO
12722946,49699,DLF25DECFUT,DLF,0.0,2025-12-30,0.0,0.05,825,FUT,NFO-FUT,NFO
12638722,49370,DLF26JANFUT,DLF,0.0,2026-01-27,0.0,0.05,825,FUT,NFO-FUT,NFO
12449538,48631,DMART25NOVFUT,DMART,0.0,2025-11-25,0.0,0.1,150,FUT,NFO-FUT,NFO
12723202,49700,DMART25DECFUT,DMART,0.0,2025-12-30,0.0,0.1,150,FUT,NFO-FUT,NFO
12639234,49372,DMART26JANFUT,DMART,0.0,2026-01-27,0.0,0.1,150,FUT,NFO-FUT,NFO
12449794,48632,DRREDDY25NOVFUT,DRREDDY,0.0,2025-11-25,0.0,0.1,625,FUT,NFO-FUT,NFO
12724994,49707,DRREDDY25DECFUT,DRREDDY,0.0,2025-12-30,0.0,0.1,625,FUT,NFO-FUT,NFO
12639746,49374,DRREDDY26JANFUT,DRREDDY,0.0,2026-01-27,0.0,0.1,625,FUT,NFO-FUT,NFO
12450050,48633,EICHERMOT25NOVFUT,EICHERMOT,0.0,2025-11-25,0.0,0.5,175,FUT,NFO-FUT,NFO
12726018,49711,EICHERMOT25DECFUT,EICHERMOT,0.0,2025-12-30,0.0,0.5,175,FUT,NFO-FUT,NFO
12640002,49375,EICHERMOT26JANFUT,EICHERMOT,0.0,2026-01-27,0.0,0.5,100,FUT,NFO-FUT,NFO
12450306,48634,ETERNAL25NOVFUT,ETERNAL,0.0,2025-11-25,0.0,0.05,2425,FUT,NFO-FUT,NFO
12726274,49712,ETERNAL25DECFUT,ETERNAL,0.0,2025-12-30,0.0,0.05,2425,FUT,NFO-FUT,NFO
12642050,49383,ETERNAL26JANFUT,ETERNAL,0.0,2026-01-27,0.0,0.05,2425,FUT,NFO-FUT,NFO
12450562,48635,EXIDEIND25NOVFUT,EXIDEIND,0.0,2025-11-25,0.0,0.05,1800,FUT,NFO-FUT,NFO
12726530,49713,EXIDEIND25DECFUT,EXIDEIND,0.0,2025-12-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
12642306,49384,EXIDEIND26JANFUT,EXIDEIND,0.0,2026-01-27,0.0,0.05,1800,FUT,NFO-FUT,NFO
12450818,48636,FEDERALBNK25NOVFUT,FEDERALBNK,0.0,2025-11-25,0.0,0.01,5000,FUT,NFO-FUT,NFO
12726786,49714,FEDERALBNK25DECFUT,FEDERALBNK,0.0,2025-12-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
12644098,49391,FEDERALBNK26JANFUT,FEDERALBNK,0.0,2026-01-27,0.0,0.01,5000,FUT,NFO-FUT,NFO
9485314,37052,FINNIFTY25NOVFUT,FINNIFTY,0.0,2025-11-25,0.0,0.1,65,FUT,NFO-FUT,NFO
12677378,49521,FINNIFTY25DECFUT,FINNIFTY,0.0,2025-12-30,0.0,0.1,65,FUT,NFO-FUT,NFO
12601602,49225,FINNIFTY26JANFUT,FINNIFTY,0.0,2026-01-27,0.0,0.1,60,FUT,NFO-FUT,NFO
12451074,48637,FORTIS25NOVFUT,FORTIS,0.0,2025-11-25,0.0,0.1,775,FUT,NFO-FUT,NFO
12729090,49723,FORTIS25DECFUT,FORTIS,0.0,2025-12-30,0.0,0.1,775,FUT,NFO-FUT,NFO
12644354,49392,FORTIS26JANFUT,FORTIS,0.0,2026-01-27,0.0,0.1,775,FUT,NFO-FUT,NFO
12451330,48638,GAIL25NOVFUT,GAIL,0.0,2025-11-25,0.0,0.01,3150,FUT,NFO-FUT,NFO
12729346,49724,GAIL25DECFUT,GAIL,0.0,2025-12-30,0.0,0.01,3150,FUT,NFO-FUT,NFO
12644610,49393,GAIL26JANFUT,GAIL,0.0,2026-01-27,0.0,0.01,3150,FUT,NFO-FUT,NFO
12451586,48639,GLENMARK25NOVFUT,GLENMARK,0.0,2025-11-25,0.0,0.1,375,FUT,NFO-FUT,NFO
12729602,49725,GLENMARK25DECFUT,GLENMARK,0.0,2025-12-30,0.0,0.1,375,FUT,NFO-FUT,NFO
12644866,49394,GLENMARK26JANFUT,GLENMARK,0.0,2026-01-27,0.0,0.1,375,FUT,NFO-FUT,NFO
12451842,48640,GMRAIRPORT25NOVFUT,GMRAIRPORT,0.0,2025-11-25,0.0,0.01,6975,FUT,NFO-FUT,NFO
12729858,49726,GMRAIRPORT25DECFUT,GMRAIRPORT,0.0,2025-12-30,0.0,0.01,6975,FUT,NFO-FUT,NFO
12645122,49395,GMRAIRPORT26JANFUT,GMRAIRPORT,0.0,2026-01-27,0.0,0.01,6975,FUT,NFO-FUT,NFO
12452098,48641,GODREJCP25NOVFUT,GODREJCP,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
12730370,49728,GODREJCP25DECFUT,GODREJCP,0.0,2025-12-30,0.0,0.1,500,FUT,NFO-FUT,NFO
12645378,49396,GODREJCP26JANFUT,GODREJCP,0.0,2026-01-27,0.0,0.1,500,FUT,NFO-FUT,NFO
12452354,48642,GODREJPROP25NOVFUT,GODREJPROP,0.0,2025-11-25,0.0,0.1,275,FUT,NFO-FUT,NFO
12730626,49729,GODREJPROP25DECFUT,GODREJPROP,0.0,2025-12-30,0.0,0.1,275,FUT,NFO-FUT,NFO
12645634,49397,GODREJPROP26JANFUT,GODREJPROP,0.0,2026-01-27,0.0,0.1,275,FUT,NFO-FUT,NFO
12452610,48643,GRASIM25NOVFUT,GRASIM,0.0,2025-11-25,0.0,0.1,250,FUT,NFO-FUT,NFO
12730882,49730,GRASIM25DECFUT,GRASIM,0.0,2025-12-30,0.0,0.1,250,FUT,NFO-FUT,NFO
12645890,49398,GRASIM26JANFUT,GRASIM,0.0,2026-01-27,0.0,0.1,250,FUT,NFO-FUT,NFO
12452866,48644,HAL25NOVFUT,HAL,0.0,2025-11-25,0.0,0.1,150,FUT,NFO-FUT,NFO
